Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.84     0.00     3364     0.00     0.00  std::_Head_base<2ul, float, false>::_Head_base<float&>(float&)
  0.00      0.84     0.00     3364     0.00     0.00  std::_Tuple_impl<0ul, float, float, float>::_M_head(std::_Tuple_impl<0ul, float, float, float>&)
  0.00      0.84     0.00     3364     0.00     0.00  std::_Tuple_impl<0ul, float, float, float>::_Tuple_impl<float&, float&, float&, void>(float&, float&, float&)
  0.00      0.84     0.00     3364     0.00     0.00  std::_Tuple_impl<1ul, float, float>::_M_head(std::_Tuple_impl<1ul, float, float>&)
  0.00      0.84     0.00     3364     0.00     0.00  std::_Tuple_impl<1ul, float, float>::_Tuple_impl<float&, float&, void>(float&, float&)
  0.00      0.84     0.00     3364     0.00     0.00  std::_Tuple_impl<2ul, float>::_M_head(std::_Tuple_impl<2ul, float>&)
  0.00      0.84     0.00     3364     0.00     0.00  std::_Tuple_impl<2ul, float>::_Tuple_impl<float&>(float&)
  0.00      0.84     0.00     3364     0.00     0.00  std::tuple<float, float, float>::tuple<float&, float&, float&, true, true>(float&, float&, float&)
  0.00      0.84     0.00     3364     0.00     0.00  float const* std::max_element<float const*>(float const*, float const*)
  0.00      0.84     0.00     3364     0.00     0.00  float& std::__get_helper<0ul, float, float, float>(std::_Tuple_impl<0ul, float, float, float>&)
  0.00      0.84     0.00     3364     0.00     0.00  float& std::__get_helper<1ul, float, float>(std::_Tuple_impl<1ul, float, float>&)
  0.00      0.84     0.00     3364     0.00     0.00  float& std::__get_helper<2ul, float>(std::_Tuple_impl<2ul, float>&)
  0.00      0.84     0.00     3364     0.00     0.00  float const* std::__max_element<float const*, __gnu_cxx::__ops::_Iter_less_iter>(float const*, float const*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.84     0.00     3364     0.00     0.00  std::tuple_element<0ul, std::tuple<float, float, float> >::type&& std::get<0ul, float, float, float>(std::tuple<float, float, float>&&)
  0.00      0.84     0.00     3364     0.00     0.00  std::tuple_element<1ul, std::tuple<float, float, float> >::type&& std::get<1ul, float, float, float>(std::tuple<float, float, float>&&)
  0.00      0.84     0.00     3364     0.00     0.00  std::tuple_element<2ul, std::tuple<float, float, float> >::type&& std::get<2ul, float, float, float>(std::tuple<float, float, float>&&)
  0.00      0.84     0.00     3364     0.00     0.00  float std::max<float>(std::initializer_list<float>)
  0.00      0.84     0.00     2556     0.00     0.00  __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int)
  0.00      0.84     0.00     2300     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00      0.84     0.00     2139     0.00     0.00  sift::Keypoint const& std::forward<sift::Keypoint const&>(std::remove_reference<sift::Keypoint const&>::type&)
  0.00      0.84     0.00     2134     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00      0.84     0.00     2070     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      0.84     0.00     1953     0.00     0.00  sift::point_is_on_edge(sift::Keypoint const&, std::vector<Image, std::allocator<Image> > const&, float)
  0.00      0.84     0.00     1784     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.84     0.00     1691     0.00     0.00  __gnu_cxx::new_allocator<float>::_M_max_size() const
  0.00      0.84     0.00     1680     0.00     0.00  float const& std::forward<float const&>(std::remove_reference<float const&>::type&)
  0.00      0.84     0.00     1505     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  0.00      0.84     0.00     1196     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.84     0.00     1189     0.00     0.00  sift::refine_or_discard_keypoint(sift::Keypoint&, std::vector<Image, std::allocator<Image> > const&, float, float)
  0.00      0.84     0.00     1127     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      0.84     0.00     1127     0.00     0.00  std::allocator_traits<std::allocator<float> >::max_size(std::allocator<float> const&)
  0.00      0.84     0.00     1127     0.00     0.00  std::vector<float, std::allocator<float> >::_S_max_size(std::allocator<float> const&)
  0.00      0.84     0.00     1126     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.00      0.84     0.00     1126     0.00     0.00  std::vector<float, std::allocator<float> >::max_size() const
  0.00      0.84     0.00     1126     0.00     0.00  std::vector<float, std::allocator<float> >::_S_relocate(float*, float*, float*, std::allocator<float>&)
  0.00      0.84     0.00     1126     0.00     0.00  std::vector<float, std::allocator<float> >::_S_do_relocate(float*, float*, float*, std::allocator<float>&, std::integral_constant<bool, true>)
  0.00      0.84     0.00     1126     0.00     0.00  float* std::__relocate_a<float*, float*, std::allocator<float> >(float*, float*, float*, std::allocator<float>&)
  0.00      0.84     0.00     1126     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<float, void>::value, float*>::type std::__relocate_a_1<float, float>(float*, float*, float*, std::allocator<float>&)
  0.00      0.84     0.00     1122     0.00     0.00  __gnu_cxx::__normal_iterator<sift::Keypoint const*, std::vector<sift::Keypoint, std::allocator<sift::Keypoint> > >::base() const
  0.00      0.84     0.00     1084     0.00     0.00  __gnu_cxx::__normal_iterator<sift::Keypoint*, std::vector<sift::Keypoint, std::allocator<sift::Keypoint> > >::base() const
  0.00      0.84     0.00     1067     0.00     0.00  std::vector<float, std::allocator<float> >::end()
  0.00      0.84     0.00     1062     0.00     0.00  std::vector<float, std::allocator<float> >::begin()
  0.00      0.84     0.00     1059     0.00     0.00  void __gnu_cxx::new_allocator<sift::Keypoint>::construct<sift::Keypoint, sift::Keypoint const&>(sift::Keypoint*, sift::Keypoint const&)
  0.00      0.84     0.00     1059     0.00     0.00  bool __gnu_cxx::operator!=<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
