16158	16158
16158	16157
16157	16157
16156	16154
16150	16146
16139	16129
16115	16093
16063	16019
15960	15882
15780	15653
15501	15330
15136	14934
14727	14522
14332	14167
14022	13911
13831	13780
13761	13763
13785	13823
13873	13934
13994	14064
14127	14190
14252	14303
14344	14374
14395	14395
14381	14350
14303	14238
14161	14082
14003	13940
13891	13875
13894	13955
14051	14180
14327	14483
14628	14747
14833	14868
14843	14760
14623	14433
14208	13961
13711	13469
13246	13050
12882	12727
12584	12433
12269	12085
11880	11661
11444	11231
11032	10862
10719	10607
10519	10454
10404	10365
10333	10298
10261	10225
10184	10150
10118	10098
10097	10117
10162	10233
10328	10444
10574	10710
10841	10959
11051	11104
11113	11074
10987	10867
10715	10552
10389	10243
10116	10023
9957	9923
9909	9910
9916	9930
9936	9943
9953	9969
9998	10047
10114	10217
10342	10498
10680	10886
11108	11360
11626	11919
12233	12565
12912	13262
13605	13934
14220	14470
14661	14795
14868	14887
14857	14790
14694	14588
14489	14402
14341	14313
14317	14358
14420	14501
14596	14692
14784	14867
14942	15006
15062	15104
15140	15169
15192	15217
15238	15256
15278	15300
15320	15345
15369	15400
15433	15468
15509	15557
15605	15660
15716	15772
15827	15883
15934	15979
16018	16050
16077	16099
16115	16128
16138	16145
16148	16153
16155	16157
16157	16157
16158	16158
16158	16158
16158	16158
16158	16158
16158	16158
16158	16157
16157	16157
16156	16154
16150	16146
16138	16128
16112	16090
16057	16011
15946	15860
15748	15608
15442	15250
15037	14809
14578	14349
14133	13939
13775	13644
13549	13488
13459	13454
13478	13518
13573	13640
13712	13789
13867	13942
14016	14080
14136	14184
14213	14232
14228	14211
14169	14116
14050	13981
13910	13855
13817	13814
13846	13916
14023	14160
14314	14478
14628	14754
14840	14878
14857	14782
14645	14463
14242	13997
13751	13508
13282	13086
12912	12757
12605	12457
12291	12110
11910	11699
11483	11279
11091	10928
10790	10680
10597	10539
10488	10452
10418	10387
10350	10316
10277	10239
10211	10192
10190	10210
10251	10316
10405	10514
10631	10759
10886	10992
11074	11118
11121	11079
10995	10874
10727	10569
10412	10272
10157	10071
10015	9984
9976	9980
9993	10004
10018	10030
10041	10065
10094	10147
10218	10323
10453	10615
10799	11006
11231	11480
11743	12026
12332	12657
12990	13329
13665	13977
14258	14495
14682	14808
14879	14895
14863	14793
14696	14587
14487	14399
14338	14310
14315	14351
14418	14497
14590	14688
14781	14865
14939	15004
15061	15103
15139	15166
15191	15217
15237	15256
15277	15297
15319	15341
15365	15395
15427	15463
15503	15549
15599	15653
15713	15769
15826	15881
15931	15976
16016	16049
16075	16097
16114	16128
16138	16145
16148	16153
16155	16157
16157	16157
16158	16158
16158	16158
16158	16158
16158	16158
16158	16158
16158	16157
16157	16157
16156	16154
16150	16146
16137	16126
16110	16085
16049	15996
15929	15834
15712	15555
15372	15157
14918	14661
14397	14135
13889	13665
13471	13312
13197	13116
13074	13065
13081	13121
13179	13253
13337	13423
13517	13607
13697	13779
13855	13917
13966	13996
14009	14006
13981	13942
13888	13833
13778	13735
13714	13723
13770	13856
13978	14127
14294	14466
14623	14757
14851	14893
14879	14806
14678	14501
14288	14047
13798	13559
13333	13134
12955	12792
12643	12490
12323	12144
11951	11749
11543	11346
11167	11013
10881	10779
10702	10642
10598	10565
10534	10504
10471	10437
10399	10363
10336	10319
10314	10330
10367	10428
10507	10609
10718	10835
10945	11039
11111	11146
11143	11097
11011	10895
10750	10603
10455	10327
10219	10144
10093	10069
10067	10078
10093	10112
10131	10146
10164	10188
10224	10278
10355	10462
10599	10761
10948	11156
11384	11626
11888	12165
12461	12772
13093	13421
13740	14039
14307	14534
14711	14832
14894	14903
14868	14795
14695	14588
14484	14394
14331	14300
14305	14343
14406	14489
14583	14681
14775	14860
14935	15002
15056	15100
15137	15163
15191	15213
15235	15254
15274	15296
15315	15336
15360	15389
15420	15453
15498	15543
15595	15651
15706	15765
15822	15878
15928	15973
16013	16047
16072	16096
16113	16126
16137	16145
16148	16153
16155	16157
16157	16157
16158	16158
16158	16158
16158	16158
16158	16158
16158	16158
